city,latitude,longitude,region,languages,timezone,attractions,date,high_c,low_c,feels_like_c,rain_probability,weather_condition,day_length,season,climate_risk,travel_recommendation,travel_score
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,Lincoln Memorial | Smithsonian Museums | Capitol Building | National Mall,2026-06-13,28.7,20.4,30.3,35.0,Moderate drizzle,14h 52m,Summer,No risk,Highly recommended,6.0
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,Nairobi National Park | David Sheldrick Wildlife Trust | Karen Blixen Museum | Giraffe Centre,2026-06-07,26.0,15.2,25.9,17.0,Light drizzle,12h 3m,Winter,No risk,Highly recommended,9.0
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,Nairobi National Park | David Sheldrick Wildlife Trust | Karen Blixen Museum | Giraffe Centre,2026-06-08,25.5,16.1,25.6,49.0,Light drizzle,12h 3m,Winter,No risk,Carry an umbrella,7.0
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,Nairobi National Park | David Sheldrick Wildlife Trust | Karen Blixen Museum | Giraffe Centre,2026-06-09,25.6,15.5,26.0,20.0,Light drizzle,12h 3m,Winter,No risk,Highly recommended,8.0
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,Nairobi National Park | David Sheldrick Wildlife Trust | Karen Blixen Museum | Giraffe Centre,2026-06-10,26.5,16.5,27.0,53.0,Light drizzle,12h 3m,Winter,No risk,Carry an umbrella,7.0
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,Nairobi National Park | David Sheldrick Wildlife Trust | Karen Blixen Museum | Giraffe Centre,2026-06-11,25.1,16.3,24.8,78.0,Light drizzle,12h 3m,Winter,No risk,Not recommended high chance of rain,6.0
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,Nairobi National Park | David Sheldrick Wildlife Trust | Karen Blixen Museum | Giraffe Centre,2026-06-12,22.5,16.0,22.0,71.0,Light drizzle,12h 2m,Winter,No risk,Not recommended high chance of rain,6.0
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,Nairobi National Park | David Sheldrick Wildlife Trust | Karen Blixen Museum | Giraffe Centre,2026-06-13,22.9,15.6,22.1,47.0,Light drizzle,12h 3m,Winter,No risk,Carry an umbrella,7.0
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,Kingdom Centre Tower | Masmak Fortress | National Museum | Edge of the World,2026-06-07,44.3,32.3,42.7,0.0,Clear sky,13h 37m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,Kingdom Centre Tower | Masmak Fortress | National Museum | Edge of the World,2026-06-08,43.8,31.8,41.1,0.0,Partly cloudy,13h 38m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,Kingdom Centre Tower | Masmak Fortress | National Museum | Edge of the World,2026-06-09,45.1,31.5,41.7,0.0,Clear sky,13h 38m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,Kingdom Centre Tower | Masmak Fortress | National Museum | Edge of the World,2026-06-10,45.5,31.9,44.5,0.0,Clear sky,13h 38m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,Kingdom Centre Tower | Masmak Fortress | National Museum | Edge of the World,2026-06-11,44.5,32.8,43.0,0.0,Clear sky,13h 39m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,Kingdom Centre Tower | Masmak Fortress | National Museum | Edge of the World,2026-06-12,44.2,31.6,42.6,0.0,Clear sky,13h 39m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,Kingdom Centre Tower | Masmak Fortress | National Museum | Edge of the World,2026-06-13,43.9,31.1,41.4,0.0,Clear sky,13h 39m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,Taj Mahal | Red Fort | Qutub Minar | India Gate | Lotus Temple,2026-06-07,40.4,28.9,43.1,25.0,Light drizzle,13h 54m,Summer,Extreme heat warning,Not recommended extreme heat,4.5
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,Taj Mahal | Red Fort | Qutub Minar | India Gate | Lotus Temple,2026-06-08,42.0,30.5,43.0,0.0,Clear sky,13h 54m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,Taj Mahal | Red Fort | Qutub Minar | India Gate | Lotus Temple,2026-06-09,42.5,31.1,44.6,0.0,Mainly clear,13h 56m,Summer,Extreme heat warning,Not recommended extreme heat,6.5
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,Taj Mahal | Red Fort | Qutub Minar | India Gate | Lotus Temple,2026-06-10,42.4,32.6,45.9,31.0,Light drizzle,13h 56m,Summer,Extreme heat warning,Not recommended extreme heat,4.5
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,Taj Mahal | Red Fort | Qutub Minar | India Gate | Lotus Temple,2026-06-11,41.9,27.2,47.0,53.0,Thunderstorm,13h 56m,Summer,Extreme heat warning,Not recommended extreme heat,2.5
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,Taj Mahal | Red Fort | Qutub Minar | India Gate | Lotus Temple,2026-06-12,33.3,25.4,38.7,51.0,Thunderstorm,13h 57m,Summer,No risk,Carry an umbrella,4.0
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,Taj Mahal | Red Fort | Qutub Minar | India Gate | Lotus Temple,2026-06-13,36.1,25.1,43.1,39.0,Light drizzle,13h 57m,Summer,No risk,Recommended,4.5
London,51.5074,-0.1278,Europe,English,Europe/London,Big Ben | Tower of London | Buckingham Palace | The Shard | British Museum,2026-06-07,19.4,11.4,16.6,22.0,Light drizzle,16h 29m,Summer,No risk,Recommended,7.0
London,51.5074,-0.1278,Europe,English,Europe/London,Big Ben | Tower of London | Buckingham Palace | The Shard | British Museum,2026-06-08,17.9,13.5,15.0,99.0,Moderate rain,16h 30m,Summer,Heavy rain risk,Not recommended high chance of rain,3.0
London,51.5074,-0.1278,Europe,English,Europe/London,Big Ben | Tower of London | Buckingham Palace | The Shard | British Museum,2026-06-09,17.9,10.8,14.3,84.0,Moderate drizzle,16h 31m,Summer,Heavy rain risk,Not recommended high chance of rain,3.0
London,51.5074,-0.1278,Europe,English,Europe/London,Big Ben | Tower of London | Buckingham Palace | The Shard | British Museum,2026-06-10,17.0,10.1,13.1,95.0,Light drizzle,16h 32m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
London,51.5074,-0.1278,Europe,English,Europe/London,Big Ben | Tower of London | Buckingham Palace | The Shard | British Museum,2026-06-11,16.5,11.5,14.7,54.0,Light rain,16h 34m,Summer,No risk,Carry an umbrella,5.0
London,51.5074,-0.1278,Europe,English,Europe/London,Big Ben | Tower of London | Buckingham Palace | The Shard | British Museum,2026-06-12,20.0,13.2,14.9,20.0,Overcast,16h 34m,Summer,No risk,Highly recommended,8.0
London,51.5074,-0.1278,Europe,English,Europe/London,Big Ben | Tower of London | Buckingham Palace | The Shard | British Museum,2026-06-13,21.2,12.3,17.1,8.0,Mainly clear,16h 35m,Summer,No risk,Highly recommended,10.0
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,Colosseum | Vatican City | Trevi Fountain | Pantheon | Roman Forum,2026-06-07,30.1,15.5,31.9,0.0,Foggy,15h 7m,Summer,No risk,Highly recommended,8.0
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,Colosseum | Vatican City | Trevi Fountain | Pantheon | Roman Forum,2026-06-08,31.1,17.5,32.3,0.0,Overcast,15h 9m,Summer,No risk,Highly recommended,8.0
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,Colosseum | Vatican City | Trevi Fountain | Pantheon | Roman Forum,2026-06-09,30.4,16.2,31.7,0.0,Overcast,15h 9m,Summer,No risk,Highly recommended,8.0
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,Colosseum | Vatican City | Trevi Fountain | Pantheon | Roman Forum,2026-06-10,29.1,17.7,30.1,0.0,Overcast,15h 10m,Summer,No risk,Highly recommended,8.0
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,Colosseum | Vatican City | Trevi Fountain | Pantheon | Roman Forum,2026-06-11,27.5,19.1,29.4,0.0,Overcast,15h 10m,Summer,No risk,Highly recommended,9.0
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,Colosseum | Vatican City | Trevi Fountain | Pantheon | Roman Forum,2026-06-12,31.4,18.0,32.8,0.0,Mainly clear,15h 11m,Summer,No risk,Highly recommended,9.0
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,Colosseum | Vatican City | Trevi Fountain | Pantheon | Roman Forum,2026-06-13,29.8,16.6,31.8,0.0,Partly cloudy,15h 11m,Summer,No risk,Highly recommended,9.0
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,Senso-ji Temple | Shibuya Crossing | Tokyo Tower | Mount Fuji | Shinjuku Gyoen,2026-06-08,21.6,18.2,24.5,100.0,Light rain,14h 30m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,Senso-ji Temple | Shibuya Crossing | Tokyo Tower | Mount Fuji | Shinjuku Gyoen,2026-06-09,25.3,18.5,26.8,84.0,Light rain,14h 31m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,Senso-ji Temple | Shibuya Crossing | Tokyo Tower | Mount Fuji | Shinjuku Gyoen,2026-06-10,24.6,17.2,26.7,41.0,Overcast,14h 31m,Summer,No risk,Carry an umbrella,7.0
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,Senso-ji Temple | Shibuya Crossing | Tokyo Tower | Mount Fuji | Shinjuku Gyoen,2026-06-11,24.1,16.6,25.9,53.0,Moderate drizzle,14h 32m,Summer,No risk,Carry an umbrella,6.0
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,Senso-ji Temple | Shibuya Crossing | Tokyo Tower | Mount Fuji | Shinjuku Gyoen,2026-06-12,23.9,17.7,27.6,94.0,Moderate showers,14h 32m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,Senso-ji Temple | Shibuya Crossing | Tokyo Tower | Mount Fuji | Shinjuku Gyoen,2026-06-13,25.5,16.0,28.5,31.0,Overcast,14h 32m,Summer,No risk,Highly recommended,8.0
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,Senso-ji Temple | Shibuya Crossing | Tokyo Tower | Mount Fuji | Shinjuku Gyoen,2026-06-14,23.4,18.1,25.7,51.0,Heavy drizzle,14h 33m,Summer,No risk,Carry an umbrella,6.0
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,Australian War Memorial | Parliament House | National Gallery | Lake Burley Griffin,2026-06-08,13.2,0.7,11.3,0.0,Overcast,9h 50m,Winter,No risk,Recommended,7.0
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,Australian War Memorial | Parliament House | National Gallery | Lake Burley Griffin,2026-06-09,13.7,2.4,13.3,47.0,Light drizzle,9h 50m,Winter,No risk,Carry an umbrella,5.0
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,Australian War Memorial | Parliament House | National Gallery | Lake Burley Griffin,2026-06-10,12.5,6.1,11.4,100.0,Light rain,9h 49m,Winter,Heavy rain risk,Not recommended high chance of rain,2.0
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,Australian War Memorial | Parliament House | National Gallery | Lake Burley Griffin,2026-06-11,16.3,7.9,15.4,15.0,Overcast,9h 49m,Winter,No risk,Recommended,8.0
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,Australian War Memorial | Parliament House | National Gallery | Lake Burley Griffin,2026-06-12,15.3,6.1,14.5,2.0,Overcast,9h 48m,Winter,No risk,Recommended,8.0
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,Australian War Memorial | Parliament House | National Gallery | Lake Burley Griffin,2026-06-13,14.4,5.5,13.0,15.0,Overcast,9h 48m,Winter,No risk,Recommended,7.0
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,Australian War Memorial | Parliament House | National Gallery | Lake Burley Griffin,2026-06-14,15.8,8.8,14.4,24.0,Overcast,9h 48m,Winter,No risk,Recommended,7.0
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,National Monument | Istiqlal Mosque | Thousand Islands | Kota Tua Old Town,2026-06-08,36.0,25.9,39.4,16.0,Partly cloudy,11h 46m,Winter,No risk,Recommended,8.0
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,National Monument | Istiqlal Mosque | Thousand Islands | Kota Tua Old Town,2026-06-09,35.0,26.8,39.3,33.0,Light drizzle,11h 46m,Winter,No risk,Recommended,6.0
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,National Monument | Istiqlal Mosque | Thousand Islands | Kota Tua Old Town,2026-06-10,34.5,26.0,38.6,43.0,Overcast,11h 47m,Winter,No risk,Carry an umbrella,5.0
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,National Monument | Istiqlal Mosque | Thousand Islands | Kota Tua Old Town,2026-06-11,31.6,25.8,35.6,76.0,Light drizzle,11h 46m,Winter,No risk,Not recommended high chance of rain,5.0
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,National Monument | Istiqlal Mosque | Thousand Islands | Kota Tua Old Town,2026-06-12,32.5,26.1,37.2,65.0,Light drizzle,11h 46m,Winter,No risk,Carry an umbrella,4.0
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,National Monument | Istiqlal Mosque | Thousand Islands | Kota Tua Old Town,2026-06-13,33.8,26.0,37.3,35.0,Overcast,11h 46m,Winter,No risk,Recommended,6.0
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,National Monument | Istiqlal Mosque | Thousand Islands | Kota Tua Old Town,2026-06-14,34.2,26.0,39.3,76.0,Heavy drizzle,11h 46m,Winter,No risk,Not recommended high chance of rain,3.0
Berlin,52.52,13.405,Europe,German,Europe/Berlin,Brandenburg Gate | Berlin Wall Memorial | Museum Island | Reichstag Building,2026-06-07,20.7,16.0,18.6,95.0,Light showers,16h 40m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Berlin,52.52,13.405,Europe,German,Europe/Berlin,Brandenburg Gate | Berlin Wall Memorial | Museum Island | Reichstag Building,2026-06-08,26.3,13.5,24.6,5.0,Overcast,16h 42m,Summer,No risk,Highly recommended,9.0
Berlin,52.52,13.405,Europe,German,Europe/Berlin,Brandenburg Gate | Berlin Wall Memorial | Museum Island | Reichstag Building,2026-06-09,21.4,13.3,20.6,55.0,Light showers,16h 43m,Summer,No risk,Carry an umbrella,6.0
Berlin,52.52,13.405,Europe,German,Europe/Berlin,Brandenburg Gate | Berlin Wall Memorial | Museum Island | Reichstag Building,2026-06-10,17.6,10.5,16.3,48.0,Thunderstorm,16h 44m,Summer,No risk,Carry an umbrella,5.0
Berlin,52.52,13.405,Europe,German,Europe/Berlin,Brandenburg Gate | Berlin Wall Memorial | Museum Island | Reichstag Building,2026-06-11,20.7,9.3,17.9,25.0,Light rain,16h 45m,Summer,No risk,Highly recommended,7.0
Berlin,52.52,13.405,Europe,German,Europe/Berlin,Brandenburg Gate | Berlin Wall Memorial | Museum Island | Reichstag Building,2026-06-12,17.6,12.5,15.4,58.0,Light showers,16h 46m,Summer,No risk,Carry an umbrella,5.0
Berlin,52.52,13.405,Europe,German,Europe/Berlin,Brandenburg Gate | Berlin Wall Memorial | Museum Island | Reichstag Building,2026-06-13,20.1,12.4,16.3,54.0,Light rain,16h 46m,Summer,No risk,Carry an umbrella,6.0
Moscow,55.7558,37.6173,Europe,Russian,Europe/Moscow,Red Square | Kremlin | Saint Basil Cathedral | Bolshoi Theatre | Gorky Park,2026-06-07,26.2,12.1,26.6,0.0,Overcast,17h 21m,Summer,No risk,Highly recommended,9.0
Moscow,55.7558,37.6173,Europe,Russian,Europe/Moscow,Red Square | Kremlin | Saint Basil Cathedral | Bolshoi Theatre | Gorky Park,2026-06-08,27.9,14.3,28.0,3.0,Overcast,17h 22m,Summer,No risk,Highly recommended,9.0
Moscow,55.7558,37.6173,Europe,Russian,Europe/Moscow,Red Square | Kremlin | Saint Basil Cathedral | Bolshoi Theatre | Gorky Park,2026-06-09,28.4,16.5,27.8,3.0,Overcast,17h 24m,Summer,No risk,Highly recommended,8.0
Moscow,55.7558,37.6173,Europe,Russian,Europe/Moscow,Red Square | Kremlin | Saint Basil Cathedral | Bolshoi Theatre | Gorky Park,2026-06-10,30.7,16.4,30.7,15.0,Overcast,17h 25m,Summer,No risk,Highly recommended,8.0
Moscow,55.7558,37.6173,Europe,Russian,Europe/Moscow,Red Square | Kremlin | Saint Basil Cathedral | Bolshoi Theatre | Gorky Park,2026-06-11,30.6,17.9,31.1,8.0,Partly cloudy,17h 27m,Summer,No risk,Highly recommended,9.0
Moscow,55.7558,37.6173,Europe,Russian,Europe/Moscow,Red Square | Kremlin | Saint Basil Cathedral | Bolshoi Theatre | Gorky Park,2026-06-12,30.1,19.9,30.8,17.0,Light showers,17h 28m,Summer,No risk,Highly recommended,7.0
Moscow,55.7558,37.6173,Europe,Russian,Europe/Moscow,Red Square | Kremlin | Saint Basil Cathedral | Bolshoi Theatre | Gorky Park,2026-06-13,25.6,14.9,29.0,20.0,Thunderstorm,17h 30m,Summer,No risk,Highly recommended,7.0
Santiago,-33.4489,-70.6693,Americas,Spanish,America/Santiago,Plaza de Armas | San Cristobal Hill | La Moneda Palace | Bellavista District,2026-06-07,18.5,4.9,16.1,4.0,Clear sky,10h 0m,Winter,No risk,Recommended,9.0
Santiago,-33.4489,-70.6693,Americas,Spanish,America/Santiago,Plaza de Armas | San Cristobal Hill | La Moneda Palace | Bellavista District,2026-06-08,20.6,8.3,17.2,0.0,Overcast,10h 0m,Winter,No risk,Highly recommended,9.0
Santiago,-33.4489,-70.6693,Americas,Spanish,America/Santiago,Plaza de Armas | San Cristobal Hill | La Moneda Palace | Bellavista District,2026-06-09,11.9,8.5,10.6,45.0,Light drizzle,9h 59m,Winter,No risk,Carry an umbrella,5.0
Santiago,-33.4489,-70.6693,Americas,Spanish,America/Santiago,Plaza de Armas | San Cristobal Hill | La Moneda Palace | Bellavista District,2026-06-10,13.5,7.2,12.0,93.0,Light rain,9h 59m,Winter,Heavy rain risk,Not recommended high chance of rain,2.0
Santiago,-33.4489,-70.6693,Americas,Spanish,America/Santiago,Plaza de Armas | San Cristobal Hill | La Moneda Palace | Bellavista District,2026-06-11,16.1,3.0,13.8,6.0,Overcast,9h 58m,Winter,No risk,Recommended,8.0
Santiago,-33.4489,-70.6693,Americas,Spanish,America/Santiago,Plaza de Armas | San Cristobal Hill | La Moneda Palace | Bellavista District,2026-06-12,11.0,7.6,7.7,33.0,Heavy drizzle,9h 58m,Winter,No risk,Recommended,5.0
Santiago,-33.4489,-70.6693,Americas,Spanish,America/Santiago,Plaza de Armas | San Cristobal Hill | La Moneda Palace | Bellavista District,2026-06-13,9.3,3.4,7.7,46.0,Light rain,9h 58m,Winter,No risk,Carry an umbrella,3.0
Mexico City,19.4326,-99.1332,Americas,Spanish,America/Mexico_City,Teotihuacan Pyramids | Zocalo Square | Chapultepec Castle | Frida Kahlo Museum,2026-06-07,23.2,14.6,27.0,100.0,Moderate showers,13h 16m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Mexico City,19.4326,-99.1332,Americas,Spanish,America/Mexico_City,Teotihuacan Pyramids | Zocalo Square | Chapultepec Castle | Frida Kahlo Museum,2026-06-08,23.6,14.9,26.4,99.0,Moderate showers,13h 16m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Mexico City,19.4326,-99.1332,Americas,Spanish,America/Mexico_City,Teotihuacan Pyramids | Zocalo Square | Chapultepec Castle | Frida Kahlo Museum,2026-06-09,23.5,14.7,26.2,84.0,Moderate showers,13h 17m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Mexico City,19.4326,-99.1332,Americas,Spanish,America/Mexico_City,Teotihuacan Pyramids | Zocalo Square | Chapultepec Castle | Frida Kahlo Museum,2026-06-10,24.8,14.7,27.1,90.0,Heavy drizzle,13h 17m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Mexico City,19.4326,-99.1332,Americas,Spanish,America/Mexico_City,Teotihuacan Pyramids | Zocalo Square | Chapultepec Castle | Frida Kahlo Museum,2026-06-11,24.6,14.8,27.3,94.0,Moderate showers,13h 17m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Mexico City,19.4326,-99.1332,Americas,Spanish,America/Mexico_City,Teotihuacan Pyramids | Zocalo Square | Chapultepec Castle | Frida Kahlo Museum,2026-06-12,23.4,14.0,26.6,97.0,Moderate rain,13h 17m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Mexico City,19.4326,-99.1332,Americas,Spanish,America/Mexico_City,Teotihuacan Pyramids | Zocalo Square | Chapultepec Castle | Frida Kahlo Museum,2026-06-13,21.5,13.4,23.1,95.0,Moderate drizzle,13h 18m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Ottawa,45.4215,-75.6972,Americas,"English, French",America/Toronto,Parliament Hill | Rideau Canal | Canadian Museum of History | Byward Market,2026-06-07,19.7,14.7,19.3,72.0,Moderate rain,15h 33m,Summer,No risk,Not recommended high chance of rain,4.0
Ottawa,45.4215,-75.6972,Americas,"English, French",America/Toronto,Parliament Hill | Rideau Canal | Canadian Museum of History | Byward Market,2026-06-08,23.1,11.5,24.2,0.0,Mainly clear,15h 35m,Summer,No risk,Highly recommended,10.0
Ottawa,45.4215,-75.6972,Americas,"English, French",America/Toronto,Parliament Hill | Rideau Canal | Canadian Museum of History | Byward Market,2026-06-09,28.0,12.3,31.4,10.0,Light drizzle,15h 35m,Summer,No risk,Highly recommended,9.0
Ottawa,45.4215,-75.6972,Americas,"English, French",America/Toronto,Parliament Hill | Rideau Canal | Canadian Museum of History | Byward Market,2026-06-10,20.9,19.0,24.3,79.0,Heavy showers,15h 36m,Summer,No risk,Not recommended high chance of rain,5.0
Ottawa,45.4215,-75.6972,Americas,"English, French",America/Toronto,Parliament Hill | Rideau Canal | Canadian Museum of History | Byward Market,2026-06-11,24.9,17.4,26.9,26.0,Overcast,15h 37m,Summer,No risk,Highly recommended,8.0
Ottawa,45.4215,-75.6972,Americas,"English, French",America/Toronto,Parliament Hill | Rideau Canal | Canadian Museum of History | Byward Market,2026-06-12,24.5,16.8,28.4,53.0,Moderate drizzle,15h 38m,Summer,No risk,Carry an umbrella,6.0
Ottawa,45.4215,-75.6972,Americas,"English, French",America/Toronto,Parliament Hill | Rideau Canal | Canadian Museum of History | Byward Market,2026-06-13,24.0,13.5,23.5,20.0,Overcast,15h 39m,Summer,No risk,Highly recommended,8.0
Oslo,59.9139,10.7522,Europe,"Norwegian Nynorsk, Norwegian Bokmål, Sami",Europe/Oslo,Viking Ship Museum | Vigeland Sculpture Park | Akershus Fortress | Oslo Opera House,2026-06-07,21.7,12.3,19.6,39.0,Overcast,18h 33m,Summer,No risk,Highly recommended,8.0
Oslo,59.9139,10.7522,Europe,"Norwegian Nynorsk, Norwegian Bokmål, Sami",Europe/Oslo,Viking Ship Museum | Vigeland Sculpture Park | Akershus Fortress | Oslo Opera House,2026-06-08,19.6,15.0,17.9,78.0,Light drizzle,18h 35m,Summer,No risk,Not recommended high chance of rain,5.0
